id;kapacitas;feszultseg
2058523748;10Ah;24V
2058523749;10Ah;36V
2058523738;13Ah;48V
2058523733;11.6Ah;36V
2058523734;8.8Ah;36V
2058523736;20.3Ah;24V
2058523737;15.4Ah;24V
2058555661;12Ah;24V
2058555651;17Ah;36V
2058555642;9Ah;48V
2058555618;23Ah;14.4V
2058555655;14Ah;26V
2058555671;17Ah;36V
2058555607;12Ah;36V
2058555657;12Ah;24V
2058555666;9Ah;36V
2058555652;12Ah;36V
2058555599;9Ah;25.6V
2058555608;12Ah;24V
2058555604;9Ah;36V
2058555623;12Ah;25.9V
2058555624;12Ah;36V
2058555663;14Ah;14.8V
2058555630;12Ah;24V
2058555601;12Ah;26V
2058555659;12Ah;37V
2058553736;14.5Ah;36V
2058555617;26Ah;14.4V
2058553786;9Ah;24V
2058555637;12Ah;36V
2058553785;11.6Ah;72V
2058553784;11.6Ah;24V
2058555611;26Ah;36V
2058555674;12Ah;48V
2058555619;20Ah;14.4V
2058555615;12Ah;36V
2058555650;14Ah;26.6V
2058555640;12Ah;36V
2058555638;12Ah;36V
2058555648;12Ah;36V
2058555612;17Ah;14.8V
2058555627;17Ah;26V
2058555614;14Ah;36V
2058555600;12Ah;25.9V
2058555656;12Ah;27V
2058555597;14Ah;36V
2058555610;12Ah;25.9V
2058555672;9Ah;48V
2058555670;12Ah;48V
2058555636;12Ah;24V
2058555641;23Ah;25.2V
2058555609;12Ah;36V
2058555665;17Ah;36V
2058555602;12Ah;36V
2058555653;12Ah;26V
2058555620;26Ah;14.4V
2058555625;12Ah;25.9V
2058555660;12Ah;26V
2058555633;20Ah;36V
2058555606;12Ah;24V
2058555647;12Ah;24V
2058555628;12Ah;36V
2058555616;12Ah;14.4V
2058555629;14Ah;25V
2058555634;12Ah;46.8V
2058555673;9Ah;48V
2058555658;12Ah;24V
2058555621;29Ah;14.4V
2058555613;17Ah;25.9V
2058555669;17Ah;25.2V
2058555622;12Ah;25.9V
2058555635;12Ah;36V
2058555662;9Ah;25.2V
2058555668;12Ah;36V
2058555667;12Ah;36V
2058555664;14Ah;36V
2058555639;12Ah;36V
2058555603;12Ah;36V
2058555626;12Ah;25.2V
2058555605;12Ah;36V
2058555598;12Ah;25.6V
2058555654;17Ah;36V
2058555632;23Ah;14.4V
2058555649;12Ah;36V
2058555675;9Ah;48V
2058555676;17Ah;36V
2058555677;9Ah;48V
2058555678;12Ah;48V
2058561916;11.6Ah;36V
