sku;voltage;20hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
3FM180D-X;6;180;306;12.00;164;6.46;220;8.66;225;8.86;F12;28.6;63.10;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/3FM180D-X.pdf
3FM200D-X;6;200;240;9.45;185;7.28;275;10.83;275;10.83;F12;32.5;71.69;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/3FM200D-X.pdf
6FM33D-X;12;33;195;7.68;130;5.12;155;6.10;168;6.61;F11;11.0;24.30;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM33D-X.pdf
6FM40D-X;12;40;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;14.7;32.40;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM40D-X.pdf
6FM45D-X;12;45;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;14.6;32.20;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM45D-X.pdf
6FM55TD-X;12;55;229;9.01;138;5.43;208;8.18;213;8.38;F11;18.5;39.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM55TD-X.pdf
6FM60D-X;12;60;258;10.16;166;6.54;206;8.11;215;8.46;F11;24.0;52.90;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM60D-X.pdf
6FM65D-X;12;65;350;13.78;167;6.57;179;7.05;179;7.05;F11;23.4;51.50;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM65D-X.pdf
6FM75TD-X;12;75;258;10.16;166;6.54;210;8.27;215;8.46;F21;24.0;52.90;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM75TD-X.pdf
6FM80D-X;12;80;350;13.78;167;6.57;179;7.05;179;7.05;F11;22.5;49.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM80D-X.pdf
6FM90TD-X;12;90;306;12.05;169;6.65;210;8.27;215;8.46;F21;29.0;63.90;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM90TD-X.pdf
6FM100D-X;12;100;330;12.99;171;6.73;215;8.46;220;8.66;F11/F12;32.0;70.50;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM100D-X.pdf
6FM120D-X;12;120;410;16.14;176;6.93;224;8.82;224;8.82;F12;38.0;83.80;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM120D-X.pdf
6FM134D-X;12;134;341;13.40;173;6.81;283;11.10;287;11.30;F15;40;88.20;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM134D-X.pdf
6FM150D-X;12;150;482;19.00;170;6.69;240;9.45;240;9.45;F12;48.4;106.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM150D-X.pdf
6FM200D-X;12;200;522;20.55;238;9.37;218;8.58;223;8.78;F12;65;143.30;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM200D-X.pdf
6FM230D-X;12;230;520;20.50;269;10.60;203;8.00;208;8.20;F12;72.6;160.10;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM230D-X.pdf
