sku;voltage;10hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
3FM225-X;6;225;320;12.60;176;6.93;225;8.86;230;9.06;F12;30.5;67.31;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/3FM225-X.pdf
6FM7.2;12;7.2;151; ;65; ;94; ;100; ; ;2.5;5.51;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM7.2.pdf
6FM12;12;12;151; ;98; ;95; ;101; ; ;3.67;8.1;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM12.pdf
6FM17-X;12;17;181;7.13;77;3.03;167;6.57;167;6.57; ;5.5;12.1;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM17-X.pdf
6FM24-X;12;24;166;6.54;175;6.89;125;4.92;125;4.92; ;8.1;17.8;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM24-X.pdf
6FM33-X;12;33;195;7.68;130;5.12;155;6.10;168;6.61; ;11;24.3;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM33-X.pdf
6FM40-X;12;40;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;14.7;32.40;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM40-X.pdf
6FM45-X;12;45;197.5;7.78;165.5;6.52;170;6.69;170;6.69;F11;14.6;32.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM45-X.pdf
6FM55;12;55;239;9.41;132;5.2;205;8.07;210;8.27; ;17.3;38.2;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM55.pdf
6FM55SG-X;12;55;229;9.02;138;5.43;208;8.19;213;8.39;F11;18.0;39.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM55SG-X.pdf
6FM60-X;12;60;258;10.2;166;6.54;206;8.11;215;8.46;F11;24.0;52.90;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM60-X.pdf
6FM65-X;12;65;350;13.8;167;6.57;179;7.05;179;7.05;F11;23.4;51.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM65-X.pdf
6FM75-X;12;75;258;10.2;166;6.54;206;8.11;215;8.46;F11;22.5;49.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM75-X.pdf
6FM75T-X;12;75;258;10.16;166;6.54;206;8.11;211;8.31;F21;22.5;49.61;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM75T-X.pdf
6FM80-X;12;80;350;13.80;167;6.57;179;7.05;179;7.05;F11;22.5;49.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM80-X.pdf
6FM90T-X;12;90;306;12.00;169;6.65;210;8.27;215;8.46;F21;28.0;61.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM90T-X.pdf
6FM100-X;12;100;330;13.00;171;6.73;215;8.46;220;8.66;F11/F12;32.0;70.60;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM100-X.pdf
6FM120-X;12;120;410;16.10;176;6.93;224;8.82;224;8.82;F12;38.0;83.80;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM120-X.pdf
6FM134-X;12;134;341;13.40;173;6.81;283;11.1;287;11.30;F15;40;88.20;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM134-X.pdf
6FM150-X;12;150;482;18.98;170;6.69;240;9.45;240;9.45;F12;48.4;106.7;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM150-X.pdf
6FM180H-X;12;180;522;20.55;238;9.37;218;8.58;223;8.78;F12;62.0;136.70;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM180H-X.pdf
6FM200-X;12;200;522;20.60;238;9.37;218;8.58;223;8.78;F12;65.0;143.00;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM200-X.pdf
6FM230-X;12;230;520;20.50;269;10.60;203;8.00;208;8.20;F12;72.6;160.10;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/6FM230-X.pdf
